Time,j10,j11,j12,j13,j14,j15,vel_j1,vel_j2,vel_j3,vel_j4,vel_j5,vel_j6,vel_pct_j1,vel_pct_j2,vel_pct_j3,vel_pct_j4,vel_pct_j5,vel_pct_j6,TCP_X,TCP_Y,TCP_Z
5.760977202,-110.9103988,68.47146792,-34.38959503,-63.1368856,67.09046294,53.51355064,-3.93559948,26.47068119,-8.29341351,-122.4492731,43.24530607,-8.847329023,60,60,60,60,60,60,-213.2611991,-373.9849716,36.43798157
5.771260678,-110.9499067,68.7371962,-34.47284919,-64.36610348,67.52458478,53.42473594,-3.746563758,25.19923466,-7.895062148,-116.5677583,41.16813646,-8.42237185,58,58,58,58,58,58,-213.2316754,-370.5421948,35.59781883
5.781544154,-110.9874542,68.98973935,-34.55197239,-65.53432902,67.93716601,53.34032812,-3.554636318,23.90833855,-7.490617127,-110.5962728,39.05919196,-7.990914022,55,55,55,55,55,55,-213.1660408,-367.2618345,34.83192549
5.79182763,-111.0230147,69.22891783,-34.62690835,-66.64073165,68.32791328,53.2603872,-3.360420701,22.60205224,-7.081350271,-104.5535946,36.92510442,-7.554312311,52,52,52,52,52,52,-213.0698757,-364.1485929,34.13597272
5.802111105,-111.0565678,69.45459466,-34.69761417,-67.68467772,68.69660284,53.18495895,-3.164544484,21.28459682,-6.668584066,-98.45924972,34.77276982,-7.113977529,49,49,49,49,49,49,-212.9486245,-361.2062325,33.50563517
5.812394581,-111.0880997,69.6666771,-34.7640608,-68.66573825,69.04308315,53.11407437,-2.967659287,19.96035503,-6.253691656,-92.33351223,32.6093483,-6.671374534,45,45,45,45,45,45,-212.8075336,-358.4375838,32.93663527
5.822678057,-111.1176035,69.86511831,-34.82623355,-69.58369658,69.36727772,53.04774911,-2.770440768,18.63387134,-5.838096842,-86.197404,30.44226415,-6.228022221,42,42,42,42,42,42,-212.6515978,-355.8445571,32.42478232
5.832961532,-111.1450792,70.04991903,-34.88413265,-70.43855607,69.66918772,52.98598294,-2.573588625,17.30985187,-5.423274086,-80.07269493,28.27920584,-5.785493532,39,39,39,39,39,39,-212.4855108,-353.4281558,31.96600615
5.843245008,-111.1705344,70.2211292,-34.93777376,-71.23054781,69.94889477,52.92875915,-2.377826596,15.99316447,-5.010748506,-73.98190284,26.12812596,-5.345415447,36,36,36,36,36,36,-212.3136238,-351.1884915,31.55638508
5.853528484,-111.1939839,70.37884966,-34.98718847,-71.96013827,70.20656362,52.87604404,-2.183902459,14.68883865,-4.602095881,-67.94829354,23.99724127,-4.909468991,33,33,33,33,33,33,-212.1399103,-349.1247988,31.19216806
5.86381196,-111.2154506,70.52323383,-35.03242484,-72.62803706,70.44244487,52.82778634,-1.992588031,13.40206563,-4.198942647,-61.99588077,21.8950327,-4.479389229,30,30,30,30,30,30,-211.9679378,-347.2354495,30.86979102
5.874095435,-111.2349653,70.6544893,-35.07354792,-73.23520454,70.65687769,52.78391666,-1.804679171,12.13819832,-3.8029659,-56.14942625,19.83024531,-4.05696527,27,27,27,27,27,27,-211.8008468,-345.5179643,30.58588733
5.884378911,-111.2525673,70.77287956,-35.11064026,-73.78285958,70.85029256,52.74434693,-1.620995775,10.90275131,-3.415893393,-50.43443965,17.81188833,-3.644040264,25,25,25,25,25,25,-211.6413362,-343.9690225,30.33729271
5.894662387,-111.2683043,70.87872565,-35.14380244,-74.27248721,71.02321393,52.70896986,-1.44238178,9.701400884,-3.039503539,-44.87717857,15.84923514,-3.242511403,22,22,22,22,22,22,-211.4916556,-342.5844683,30.12104462
5.904945862,-111.2822327,70.9724078,-35.17315358,-74.70584633,71.17626301,52.67765836,-1.269705164,8.539985023,-2.675625408,-39.5046486,13.95182328,-2.854329921,19,19,19,19,19,19,-211.3536034,-341.3593142,29.9343764
5.915229338,-111.2944183,71.05436711,-35.19883189,-75.0849774,71.3101604,52.65026499,-1.103857943,7.424503392,-2.32613873,-34.34460327,12.12945444,-2.481501094,17,17,17,17,17,17,-211.2285322,-340.2877399,29.77470655
5.925512814,-111.3049357,71.1251072,-35.22099516,-75.41221012,71.42572891,52.62662144,-0.945756173,6.361117352,-1.992973894,-29.42554407,10.39219447,-2.126084242,14,14,14,14,14,14,-211.1173581,-339.3630876,29.63962336
5.935796289,-111.3138696,71.1851959,-35.23982129,-75.69017113,71.52389616,52.60653792,-0.79633995,5.356149949,-1.678111947,-24.77672045,8.750373374,-1.790192725,12,12,12,12,12,12,-211.020577,-338.5778544,29.52686549
5.946079765,-111.321314,71.23526688,-35.25550881,-75.92179172,71.60569741,52.58980264,-0.656573412,4.416085924,-1.383584593,-20.42812981,7.214585299,-1.475993945,10,10,10,10,10,10,-210.9382841,-337.9236801,29.43429871
5.956363241,-111.3273733,71.27602133,-35.26827741,-76.11031549,71.67227819,52.57618123,-0.527444733,3.547571706,-1.111474197,-16.4105175,5.795688563,-1.185709347,8,8,8,8,8,8,-210.8701978,-337.3913323,29.35988967
