Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
3.1,1504.61699939,769.898202688,1450.00001285,-2.31752273524e-06,0.000181670476847,-179.999816212,24.076965332,26.947265625,-32.053527832,-0.0006103515625,-57.9464111328,155.923339844
3.2,1572.09709019,778.562254879,1450.47887752,-6.6826210194e-06,0.00017609381593,-179.867676632,22.4434219571,34.6947111464,-27.3984353732,-0.000590896356819,-62.6015230469,157.688971095
3.3,1664.96884102,779.817601548,1440.41513484,-5.26955511379e-06,0.000171219833809,-179.662593884,19.9081154668,46.7189703217,-20.17359745,-0.000560701315785,-69.8263911651,160.429281784
3.4,1760.4044766,759.857319172,1409.11354141,1.05775237541e-05,0.000168685915508,-179.38608814,16.4897694806,62.931242189,-10.4323705769,-0.000519989434318,-79.5676587501,164.124034304
3.5,1762.59682434,758.938496141,1407.94320631,1.01404433152e-05,0.000168327423816,-179.378002174,16.3898010254,63.4053649902,-10.1474914551,-0.000518798828125,-79.8525390625,164.232086182
3.6,1762.59682434,758.938496141,1407.94320631,1.01404433152e-05,0.000168327423816,-179.378002174,16.3898010254,63.4053649902,-10.1474914551,-0.000518798828125,-79.8525390625,164.232086182
3.7,1762.59682434,758.938496141,1407.94320631,1.01404433152e-05,0.000168327423816,-179.378002174,16.3898010254,63.4053649902,-10.1474914551,-0.000518798828125,-79.8525390625,164.232086182
3.8,1762.69512641,754.390526761,1409.83796698,1.75084655519e-05,0.000141411934089,-179.377972111,16.0974121094,63.0748291016,-10.198425293,-0.000518798828125,-79.8016357422,164.524505615
3.9,1724.7075799,754.388924569,1409.83663725,6.89110280459e-06,0.000131509291733,-179.377979096,16.8297119141,55.6795654297,-16.9436950684,-0.00054931640625,-73.0563659668,163.792266846
4.0,1580.35892905,754.388978162,1409.83661845,1.7779109487e-05,0.000133753776266,-179.377959985,20.3168640137,36.8307495117,-32.0715026855,-0.0006103515625,-57.928527832,160.305297852
4.1,1537.47650077,754.363035054,1409.9187465,5.7156001802e-06,0.000148226858188,-179.454003362,21.6332507837,32.2313846621,-35.1755060379,-0.000640794911057,-54.8244940586,158.912912816
4.2,1532.89041441,750.084187145,1423.33901,6.83750390166e-05,3.66442167639e-05,168.024705036,21.4289209145,30.702933058,-34.0290285254,-0.000628565008787,-55.97098747,146.595933642
4.3,1495.70720081,720.632409105,1505.7923424,0.000800207245121,-6.55381176749e-05,86.5388862367,20.099187071,20.7561062229,-26.5680050581,-0.000548975494949,-63.4321144037,66.4397424652
4.4,1440.85739699,685.965740154,1585.76053327,0.000809471601022,0.000720130386003,-3.80114643868,18.6249651976,9.72846353871,-18.2962715475,-0.000460737835386,-71.7039626232,-22.4261692343
4.5,1383.39793238,655.566461404,1643.84305381,0.000103273531461,0.000653701021998,-82.1329988475,17.3467001611,0.166639546712,-11.1240351773,-0.000384228920981,-78.876298455,-99.4798271096
4.6,1346.48549243,638.21709522,1672.36761564,-7.9297425637e-06,0.000215980979605,-127.664741228,16.6036866572,-5.3913348519,-6.9550496198,-0.000339756800611,-83.0453418262,-144.268588976
4.7,1345.14685875,631.510211627,1674.81696366,5.42348654192e-06,0.000176390703635,-131.825000919,15.789116106,-5.81666281407,-6.57716507195,-0.000329211868697,-83.4232323047,-147.614281549
4.8,1369.95182969,546.878244476,1675.36269324,4.84616613766e-05,0.000201379699241,-131.82499963,4.09412828699,-4.52438458039,-6.62474617654,-0.000227694683725,-83.3756613518,-135.919303882
4.9,1359.1355892,342.066033372,1675.77369053,8.92139272078e-05,0.000191568118982,-131.824996104,-22.3242818829,-1.60519073775,-6.73222958371,1.62771262018e-06,-83.2682008769,-109.500916644
5.0,1253.51871761,156.317155867,1675.05280891,1.7686129573e-05,0.0001637824589,-131.824991759,-48.5481419414,1.29250561569,-6.83892146297,0.000229261335967,-83.161531761,-83.277079349
5.1,1222.04635602,125.297211135,1674.77446656,-1.04043311386e-05,0.000166382001755,-131.647039762,-53.7779539717,1.87039171586,-6.86019897461,0.000275567093667,-83.1402574906,-77.8693206984
5.2,1222.04640535,125.29710502,1674.77447113,3.42596828441e-05,0.000183086731928,-106.809998965,-53.7779358495,1.8703735936,-6.86019897461,0.000402422897818,-83.1400762681,-53.0323134152
5.3,1222.0464278,125.297000878,1674.77447337,1.24162765526e-05,0.00017209869628,-90.5195957518,-53.7779239632,1.87036170737,-6.86019897461,0.000485626551942,-83.1399574057,-36.7419294054
5.4,1222.04638831,125.297141661,1674.77446955,2.78728791925e-05,0.000184180835962,-115.447708325,-53.7779421519,1.87037989608,-6.86019897461,0.00035830557559,-83.1401392928,-61.6700112022
5.5,1222.27983948,123.984986624,1672.93183281,-7.59417244032e-06,0.000168606313847,-131.38596049,-53.8472675785,2.03522213579,-7.10587074882,0.000277861584133,-82.8945831708,-77.5389291184
5.6,1225.4081181,70.7239014947,1587.05586481,3.33405303397e-05,0.000172159517555,-111.624754184,-56.9671314981,9.45438645947,-18.1637852959,0.000422048736109,-71.8364955991,-54.6579564835
5.7,1216.99958587,33.9659678266,1507.25370655,2.14124651989e-05,0.000167846736498,-93.9948377968,-59.7505048378,16.0733623871,-28.0290567745,0.0005506846911,-61.9710697574,-34.2447939676
5.8,1213.65546242,31.1319118805,1475.2973426,2.32443823609e-05,0.000172367368159,-89.9998549037,-60.1932678223,17.9637451172,-32.2112121582,0.000579833984375,-57.7888793945,-29.8070983887
5.9,1212.7175506,58.4999170727,1380.31416535,-4.46026357729e-06,0.00017758203568,-89.999820689,-58.8221435547,22.4740905762,-45.9477844238,0.000732421875,-44.0523376465,-31.1784057617
6.0,1212.14381271,75.2412480316,1322.21124982,9.65996650378e-06,0.000176998458712,-89.9998341217,-57.9176635742,26.8368225098,-54.580657959,0.0008544921875,-35.4194335938,-32.0830993652
6.1,1212.14169336,75.3045940252,1321.99032587,2.62175145715e-05,0.000151323689957,-89.9998643548,-57.9176635742,26.8368225098,-54.580657959,0.0008544921875,-35.4194335938,-32.0830993652
6.2,1212.14169336,75.3045940252,1321.99032587,2.62175145715e-05,0.000151323689957,-89.9998643548,-57.9176635742,26.8368225098,-54.580657959,0.0008544921875,-35.4194335938,-32.0830993652
6.3,1212.14169336,75.3045940252,1321.99032587,2.62175145715e-05,0.000151323689957,-89.9998643548,-57.9176635742,26.8368225098,-54.580657959,0.0008544921875,-35.4194335938,-32.0830993652
6.4,1212.63402851,60.9374408511,1371.85332064,2.16256080159e-05,0.000156395340988,-89.999870787,-58.6940307617,23.0315246582,-47.1923217773,0.000732421875,-42.8077697754,-31.3065795898
6.5,1213.62896376,31.9062969747,1472.60968799,2.51523863351e-05,0.000173095144389,-89.9998516318,-60.1560974121,18.0479431152,-32.5941467285,0.000579833984375,-57.4059448242,-29.8442687988
6.6,1234.721252,38.356930662,1493.79958562,2.37940924477e-05,0.000215935576689,-82.6293297891,-57.9678157576,17.4399257071,-29.5863718552,0.000549837963755,-60.4137146982,-24.6619877371
6.7,1358.45516672,134.197755872,1525.9628698,0.000185755824948,0.000434062435787,-34.1464368774,-42.0925192335,16.562976159,-25.1253025766,0.000352525548645,-64.8747510914,7.94573044231
6.8,1495.075488,385.135872605,1586.47261893,0.000491270813704,0.000328090377752,54.2242862221,-13.1563268148,14.9645441285,-16.9940302666,-7.11941044729e-06,-73.0059634605,67.3804128838
6.9,1504.80028736,582.230164902,1628.8192614,0.000372361762638,0.000115354637236,114.742219003,6.65970355592,13.8699089256,-11.4255872346,-0.000253410791777,-78.574365444,108.082363413
7.0,1450.75665392,755.369918234,1668.19338287,5.17369411687e-05,0.000137578602176,170.618460248,24.9558417491,12.8592324081,-6.28424452728,-0.000480811586966,-83.7156702512,145.662468898
7.1,1436.80138947,782.453530354,1673.69919073,-4.12045439209e-06,0.000174289663014,179.952575162,28.0316350458,12.7909222692,-5.54886287409,-0.000516747809816,-84.4510458296,151.92078805
7.2,1493.07524271,847.278598467,1512.5120627,0.00028442735714,0.000276075353607,179.952536241,30.752742938,26.8702919363,-22.8433691534,-0.000229480055722,-67.1565754587,149.199680158
7.3,1505.2166175,878.419795653,1402.03181415,0.000445397069496,0.000343873136666,179.952600075,32.4979589528,35.9002688409,-33.9354134687,-4.52373483961e-05,-56.0645541737,147.454464143
7.4,1505.39550751,880.484693415,1393.10499192,0.000456876615541,0.000348944033885,179.952607903,32.6373901367,36.6217041016,-34.8215942383,-3.0517578125e-05,-55.1783752441,147.315032959
7.5,1505.39550751,880.484693415,1393.10499192,0.000456876615541,0.000348944033885,179.952607903,32.6373901367,36.6217041016,-34.8215942383,-3.0517578125e-05,-55.1783752441,147.315032959
7.6,1505.39550751,880.484693415,1393.10499192,0.000456876615541,0.000348944033885,179.952607903,32.6373901367,36.6217041016,-34.8215942383,-3.0517578125e-05,-55.1783752441,147.315032959
7.7,1505.3954813,880.484679254,1442.80466123,0.000455545792726,0.000348090159977,179.952610431,32.6373901367,33.633972168,-29.2205810547,-3.0517578125e-05,-60.7793884277,147.315032959
7.8,1505.39541809,880.484643114,1548.52473819,0.000469820918078,0.000320990231742,179.952616638,32.6373901367,29.2440795898,-16.5464782715,-3.0517578125e-05,-73.4535217285,147.315032959
7.9,1505.39550247,880.484697926,1575.51742885,0.00045294968578,0.000346424464341,179.952618392,32.6373901367,28.5971679688,-13.1392211914,-3.0517578125e-05,-76.860748291,147.315032959
8.0,1482.90493355,843.153964841,1616.39125299,0.000286558962778,0.000274423050232,179.952587311,30.9015865708,22.6274527438,-10.2442644096,-0.000213766611856,-79.7556821667,149.050836525
8.1,1436.2364075,781.935058414,1674.77448012,-4.39047079356e-06,0.000174634683096,179.952576275,28.0122070312,12.6903991699,-5.42538452148,-0.000518798828125,-84.5745239258,151.940216064
8.2,1436.23639706,781.935046694,1674.77450881,4.10411557272e-05,8.44194222457e-05,169.954628754,28.0122070312,12.6904021058,-5.42538354286,-0.000514884330512,-84.5745386051,141.942268172
8.3,1436.23630482,781.934961041,1674.77450881,0.000563799434068,-0.000147761028852,110.609149781,28.0122070312,12.6904195325,-5.42537773397,-0.00049164878789,-84.5746257384,82.596787001
8.4,1436.2364912,781.935002826,1674.77451618,0.000916291688828,0.000547904207543,17.5491598443,28.0122070312,12.6904468593,-5.42536862503,-0.000455212998677,-84.5747623726,-10.4632063846
8.5,1436.2365253,781.93498018,1674.77453087,0.000377643572487,0.000803854388776,-48.6140828169,28.0122070312,12.690466288,-5.4253621488,-0.000429308096208,-84.574859516,-76.626451491
8.6,1436.23652904,781.934939141,1674.77454291,-1.52963885498e-05,0.000292398114159,-118.418242636,28.0122070312,12.6904867858,-5.42535531619,-0.000401977665,-84.5749620051,-146.430613893
8.7,1433.74187123,776.111343628,1675.55587122,5.07198679846e-06,0.000159567270602,-131.825000447,27.6072740258,12.0345741761,-5.46588725301,-0.000394574954585,-84.5344505939,-159.432438821
8.8,1408.31407458,725.684240838,1680.03884023,7.51726121114e-06,0.000164067651893,-131.825000678,23.9573544104,6.12237972253,-5.83123929639,-0.000375163534487,-84.1691179619,-155.782519205
8.9,1343.55325495,637.254926274,1674.88776745,2.47239930713e-06,0.000173891205386,-131.825000997,16.5923480455,-5.80756788451,-6.56846652562,-0.000335994114982,-83.4319299021,-148.41751284
9.0,1347.39458669,614.008799143,1674.84272003,1.54195616394e-05,0.000184705139024,-131.825000305,13.4241950644,-6.11084015558,-6.54161317584,-0.000308906601827,-83.4587848282,-145.24936241
9.1,1349.07504027,487.897290348,1675.1128738,7.72021940252e-05,0.000213040302735,-131.824997023,-3.86668788356,-7.28707193913,-6.36093578564,-0.000160055083808,-83.6394693066,-127.958493639
9.2,1239.39921459,262.153762899,1675.08579555,7.98383691248e-05,0.000173445398718,-131.82499318,-39.8978372203,-9.73813158269,-5.98443598237,0.000150125217041,-84.0159838804,-91.9273738431
9.3,1172.10649613,206.734607349,1674.88639869,2.8490735515e-05,0.000162679566269,-131.824992792,-52.6237629697,-10.6038269501,-5.85145913791,0.000259678521618,-84.1489659416,-79.2014585273
9.4,1141.19582943,188.592217095,1674.77457059,1.33510992931e-06,0.000164472311748,-131.111337149,-57.9088129237,-10.9633494944,-5.79623413086,0.000309045755077,-84.2041881396,-73.2027571143
9.5,1141.19575567,188.592236345,1674.77451414,1.56872126979e-05,0.000172515374588,-106.877354601,-57.9087941502,-10.9633870414,-5.79623413086,0.000440460403049,-84.2040191779,-48.9688071641
9.6,1142.51193262,183.648244312,1668.40454864,-1.55828698616e-05,0.000170290703147,-92.4310813142,-58.1301977359,-10.2903390692,-6.79563296384,0.000521508691135,-83.2045169142,-34.3011471978
9.7,1151.09197013,129.361787659,1584.71572082,-1.30139257825e-05,0.000161504842092,-92.4310778967,-60.9004775254,-1.86907125322,-19.2998313274,0.000555413740026,-70.7002846455,-31.5309861731
9.8,1148.93748699,99.7723735159,1521.41068396,5.32502554281e-06,0.000164885703759,-92.4310720044,-62.8957824707,4.19638061523,-28.3060302734,0.000579833984375,-61.6940612793,-29.5357666016
9.9,1136.02976564,65.0091699783,1528.81973767,4.16271723788e-06,0.000161965865682,-92.4310541636,-66.072265625,7.05023193359,-26.8919372559,0.000579833984375,-63.1081237793,-26.3592529297
10.0,1137.18854614,55.1630015632,1499.5449137,-1.83682445142e-05,0.000153159345616,-92.0936487869,-66.4067179648,9.83247038556,-30.7970185162,0.000630658035694,-59.2030382836,-25.6874559493
10.1,1139.74704672,52.6925640891,1369.69905276,-3.3561553213e-05,0.000139623401738,-90.5987999803,-66.2531748287,20.5439570412,-48.9236460471,0.000855822111606,-41.076391989,-24.3464725315
10.2,1136.62137399,61.1226139224,1321.20798716,4.65325257562e-07,0.000152185865359,-89.9998051966,-66.1916503906,24.8360290527,-56.1869506836,0.000946044921875,-33.813079834,-23.8091430664
10.3,1136.62137399,61.1226139224,1321.20798716,4.65325257562e-07,0.000152185865359,-89.9998051966,-66.1916503906,24.8360290527,-56.1869506836,0.000946044921875,-33.813079834,-23.8091430664
10.4,1136.62137399,61.1226139224,1321.20798716,4.65325257562e-07,0.000152185865359,-89.9998051966,-66.1916503906,24.8360290527,-56.1869506836,0.000946044921875,-33.813079834,-23.8091430664
10.5,1136.61980402,61.1222365394,1321.37284358,1.84746350337e-07,0.000152044890381,-90.001697496,-66.1918334961,24.8172607422,-56.1641540527,0.000946044921875,-33.8358764648,-23.8108520508
10.6,1136.20302008,61.0447441115,1361.11566782,5.024822215e-06,0.000150032123,-90.4651033951,-66.2394104004,20.4929504395,-50.6047363281,0.000823974609375,-39.3952941895,-24.2265319824
10.7,1134.7318717,60.7709982455,1501.47981468,-5.09778089406e-06,0.000164169304699,-92.1015982703,-66.4075012207,8.96966552734,-30.6676940918,0.0006103515625,-59.3323669434,-25.6946105957
10.8,1135.55981015,61.7556366317,1529.87332438,3.10882730015e-06,0.000161608570738,-92.6322865403,-66.2743283382,7.34511074348,-26.695196192,0.000577239212838,-63.3048649834,-26.3584209205
10.9,1186.13098077,117.044208866,1535.99705442,0.000161692362316,0.000102310378439,-102.718244855,-57.9017367567,3.85858452008,-26.180018838,0.00044718652671,-63.8200493673,-44.8169076257
11.0,1270.0782308,319.899209773,1544.75236438,0.000411259333737,0.000295039711668,-135.86111358,-30.3890452985,-7.59828869677,-24.4871241768,1.98278777265e-05,-65.512967129,-105.472278733
11.1,1245.8996074,490.662615405,1537.30160357,0.00012652293279,0.000336065351835,-166.878837494,-4.64047033081,-18.3205460727,-22.9027780883,-0.000380128492523,-67.0973348367,-162.238421461
11.2,1214.94309498,545.20380478,1529.9272273,4.11762382698e-06,0.000165128549542,-179.713500414,6.01390376516,-22.7572553422,-22.2471994419,-0.000545624439233,-67.7529224289,-185.727399837
11.3,1222.04242884,561.792396768,1531.07618604,9.11098521797e-06,0.000162318094726,-179.99982044,9.13094987781,-21.3282727948,-22.6722967591,-0.00054931640625,-67.3277984842,-189.130760811
11.4,1250.75498815,684.369219276,1532.68285056,1.88773626918e-05,0.000175295667595,-179.99980646,28.1690653206,-11.2255319471,-25.5797050792,-0.00054931640625,-64.4202127858,-208.168836836
11.5,1248.0466163,740.396681593,1529.21497225,7.33759077836e-06,0.000174362882518,-179.999800406,35.742402728,-7.17212337838,-26.8167116424,-0.000549894240277,-63.1831356541,-215.742157547
11.6,1248.22968384,746.506120089,1497.3681939,-4.09908280265e-07,0.000169907624309,-179.999797746,36.4584977663,-4.6588624035,-31.8927594557,-0.000585570557451,-58.1070807056,-216.458188368
11.7,1235.70377814,754.602728526,1409.19689411,1.19270185037e-05,0.000183312366084,-179.999802936,38.5455681836,2.66607681685,-46.686981816,-0.000689549755119,-43.3128375495,-218.545071623
11.8,1233.0523122,754.599281004,1399.37421551,1.73562817166e-05,0.000188222370335,-179.999803454,38.793548584,3.5364074707,-48.4447937012,-0.000701904296875,-41.5550231934,-218.793029785
11.9,1233.0523122,754.599281004,1399.37421551,1.73562817166e-05,0.000188222370335,-179.999803454,38.793548584,3.5364074707,-48.4447937012,-0.000701904296875,-41.5550231934,-218.793029785
12.0,1233.0523122,754.599281004,1399.37421551,1.73562817166e-05,0.000188222370335,-179.999803454,38.793548584,3.5364074707,-48.4447937012,-0.000701904296875,-41.5550231934,-218.793029785
12.1,1235.85763348,759.549946783,1402.11499818,2.36105936037e-05,0.000187115546866,-176.520093196,39.1050720215,3.86917114258,-47.8995666504,-0.000701904296875,-42.1002807617,-215.624847412
12.2,1247.48069838,815.785719796,1438.89132427,1.43804608699e-05,0.00017446412326,-129.828751705,43.9212646484,5.75866699219,-41.1575012207,-0.0006103515625,-48.8427124023,-173.749816895
12.3,1224.31959982,826.841312404,1485.75136554,2.62580684488e-05,0.000178687483206,-70.3351454686,47.1694030762,0.925048828125,-33.9051208496,-9.1552734375e-05,-56.0953674316,-117.504699707
12.4,1226.29769111,777.61912049,1525.48021017,1.99615833359e-05,0.000160298257843,-19.8951997795,42.0454406738,-6.07220458984,-27.5112915039,0.00042724609375,-62.4890441895,-61.9410400391
12.5,1241.48211968,751.319857619,1540.88724737,8.21501799663e-06,0.000150938873134,-0.334373578371,37.629486084,-7.62078857422,-25.0447692871,0.00054931640625,-64.9553833008,-37.9642944336
12.6,1251.62813406,713.637354619,1555.89618931,5.79478906253e-06,0.000171762938387,-10.7208336206,32.077568314,-10.1798398415,-22.4414315352,0.000509229019255,-67.5587793764,-42.7987985579
12.7,1257.39539887,657.20497209,1577.20336849,2.96271216083e-05,0.000167569613009,-27.0580684772,23.7457188423,-14.0575020866,-18.5359514087,0.000448141823716,-71.4643018753,-50.8041320145
12.8,1188.8221331,477.478851738,1645.01306679,5.10711200243e-05,0.00018727853952,-90.5260873541,-8.62246225391,-29.1217293277,-3.36365521791,0.000210825797476,-86.6367626776,-81.9038397011
12.9,1119.18386935,430.922932507,1669.03410955,1.01955709793e-05,0.000180674444679,-122.373517185,-24.8644198102,-36.6807743893,4.24961752145,9.17435168207e-05,-94.250118017,-97.5092928082
